hub,bloco,faixa_etaria,foco,key,body,status,nivel_texto,variant_index
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v01,"Entre 0 e 2 anos, o desenvolvimento acontece em ondas: um dia parece que avançou, no outro volta a precisar de colo e previsibilidade.",published,ouro,1
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v02,"Dos 0 aos 2, a fase é de corpo e vínculo: regular sono, fome e desconfortos costuma reduzir boa parte do choro que parece ‘sem motivo’.",published,ouro,2
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v03,"Nessa idade, repetição é aprendizado: pedir a mesma coisa, brincar igual, ouvir a mesma frase é o cérebro treinando segurança e linguagem.",published,ouro,3
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v04,"De 0 a 2, a criança ainda ‘pega emprestado’ o seu sistema nervoso: a sua calma (ou pressa) vira o clima interno dela.",published,ouro,4
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v05,"Até 2 anos, limites funcionam melhor quando são físicos e simples: menos discurso, mais rotina e ambiente preparado.",published,ouro,5
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v06,"Entre 0 e 2, frustração é pequena no tamanho, mas enorme na vivência: ela sente tudo por inteiro porque ainda não sabe esperar.",published,ouro,6
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v07,"De 0 a 2, autonomia nasce em microescolhas: ‘quer água ou leite?’, ‘quer sentar aqui ou ali?’ — isso evita brigas desnecessárias.",published,ouro,7
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v08,"Nessa fase, muita irritação é cansaço disfarçado: reduzir estímulos e antecipar descanso costuma mudar o dia sem ‘consertar’ a criança.",published,ouro,8
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v09,"Até 2 anos, o que você chama de ‘manha’ muitas vezes é necessidade: proximidade, acolhimento e ritmo previsível estruturam a fase.",published,ouro,9
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v10,"Entre 0 e 2, o cérebro aprende pelo que vive, não pelo que escuta: contato, brincadeira simples e presença constroem mais do que explicações.",published,ouro,10
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v11,"De 0 a 2, transições pedem aviso e ritual: uma música curta, uma frase repetida e o mesmo passo a passo diminuem choros na troca de atividade.",published,ouro,11
meu-filho,bloco-4,0-2,Geral,bloco-4|0-2|Geral|v12,"Nessa idade, o objetivo não é ‘obedecer’: é sentir-se seguro o suficiente para explorar — e isso é a base de toda fase seguinte.",published,ouro,12
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v01,"Entre 3 e 4 anos, a criança começa a querer mandar no próprio mundo, mas ainda não consegue regular o que sente quando algo dá errado.",published,ouro,1
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v02,"Dos 3 aos 4, imaginação e emoção caminham juntas: o medo e a euforia aumentam porque a mente cria cenários e o corpo responde rápido.",published,ouro,2
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v03,"Nessa fase, a criança testa limites para entender o contorno do mundo: firmeza com afeto dá segurança sem virar briga de poder.",published,ouro,3
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v04,"Entre 3 e 4, o ‘não’ vira linguagem: nem sempre é oposição, muitas vezes é tentativa de autonomia e de ter participação nas decisões.",published,ouro,4
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v05,"Dos 3 aos 4, birras crescem quando o corpo está cheio: sono, fome, excesso de estímulo e transição abrupta acendem o pavio sem aviso.",published,ouro,5
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v06,"Nessa idade, ela já entende mais do que consegue fazer: a frustração aparece porque a intenção é grande, mas a habilidade ainda está chegando.",published,ouro,6
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v07,"Entre 3 e 4, pequenas responsabilidades ajudam: guardar um item, escolher uma roupa, levar algo leve — autonomia reduz conflitos.",published,ouro,7
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v08,"Dos 3 aos 4, rotinas visuais e combinados curtos funcionam melhor do que longas conversas: previsibilidade evita desgaste diário.",published,ouro,8
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v09,"Nessa fase, a criança precisa de palavras emprestadas para nomear o que sente: ‘parece raiva’, ‘parece medo’, ‘parece cansaço’.",published,ouro,9
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v10,"Entre 3 e 4, a conexão antes da correção muda tudo: um olhar, um toque e uma frase curta abrem espaço para cooperar.",published,ouro,10
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v11,"Dos 3 aos 4, quando ela ‘provoca’, muitas vezes está pedindo contato: atenção positiva preventiva custa menos que atenção corretiva depois.",published,ouro,11
meu-filho,bloco-4,3-4,Geral,bloco-4|3-4|Geral|v12,"Nessa idade, o foco é ensinar caminho: o que fazer quando sente algo grande — e não apenas cortar o comportamento na hora.",published,ouro,12
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v01,"Entre 5 e 6 anos, a criança vive a ponte entre casa e mundo: começa a se comparar, buscar aprovação e sentir mais o peso do ‘certo e errado’.",published,ouro,1
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v02,"Dos 5 aos 6, ela quer ser capaz: críticas duras viram vergonha rápido, e incentivo específico (‘vi seu esforço’) fortalece autonomia.",published,ouro,2
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v03,"Nessa fase, regras fazem mais sentido quando têm lógica: explicar o porquê em frases curtas aumenta cooperação sem virar palestra.",published,ouro,3
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v04,"Entre 5 e 6, autocontrole melhora, mas ainda falha sob estresse: depois de um dia cheio, ela volta a precisar de acolhimento e rotina.",published,ouro,4
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v05,"Dos 5 aos 6, a criança testa papéis sociais: liderança, disputa, amizade; conflitos são treino, não ‘problema de caráter’.",published,ouro,5
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v06,"Nessa idade, ela já consegue reparar: pedir desculpas, consertar, tentar de novo — ensinar reparação é mais valioso que punição longa.",published,ouro,6
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v07,"Entre 5 e 6, combinados antecipados salvam transições: ‘mais 5 minutos’, ‘última rodada’, ‘depois guardamos juntos’.",published,ouro,7
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v08,"Dos 5 aos 6, o corpo precisa de movimento para pensar melhor: pausas ativas ajudam atenção e humor mais do que ‘ficar quieto’.",published,ouro,8
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v09,"Nessa fase, a linguagem explode: validar sentimentos e orientar a ação (‘você pode estar bravo e ainda assim falar baixo’) ensina autorregulação.",published,ouro,9
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v10,"Entre 5 e 6, a criança entende regras, mas precisa de consistência: limites que mudam conforme o adulto está cansado geram ansiedade.",published,ouro,10
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v11,"Dos 5 aos 6, autonomia cresce com responsabilidade compatível: preparar a mochila com ajuda, arrumar uma parte do quarto, cuidar de um item.",published,ouro,11
meu-filho,bloco-4,5-6,Geral,bloco-4|5-6|Geral|v12,"Nessa idade, o objetivo é fortalecer base emocional e social para a escola: pertencimento, previsibilidade e vínculo tornam o aprendizado mais leve.",published,ouro,12
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v01,"Entre 7 e 8 anos, a criança ganha mais lógica e memória: ela percebe incoerências e precisa de acordos claros para se sentir segura.",published,ouro,1
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v02,"Dos 7 aos 8, a autoestima se organiza por competência: valorizar processo e esforço protege mais do que elogio genérico.",published,ouro,2
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v03,"Nessa fase, o mundo social pesa: exclusão, comparação e regras de grupo aparecem; escutar sem minimizar ajuda a criança a elaborar.",published,ouro,3
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v04,"Entre 7 e 8, ela consegue negociar melhor, mas ainda precisa de limite: liberdade com estrutura evita disputas constantes.",published,ouro,4
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v05,"Dos 7 aos 8, responsabilidades funcionam quando são combinadas e revisadas: checklists simples dão autonomia sem sobrecarregar.",published,ouro,5
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v06,"Nessa idade, humor e irritação podem refletir cansaço mental: escola exige foco prolongado e o corpo pede recuperação em casa.",published,ouro,6
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v07,"Entre 7 e 8, a criança já entende consequência, mas ainda aprende a escolher: conversar sobre alternativas reais ensina autocontrole.",published,ouro,7
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v08,"Dos 7 aos 8, conflitos com amigos são comuns: ensinar a nomear o problema e buscar soluções é mais útil que decidir por ela sempre.",published,ouro,8
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v09,"Nessa fase, a criança precisa de tempo de qualidade, não de perfeição: 10 minutos de presença inteira criam conexão e reduzem resistência.",published,ouro,9
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v10,"Entre 7 e 8, limites digitais e de rotina precisam ser previsíveis: regras claras antes do uso evitam ‘guerra’ depois.",published,ouro,10
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v11,"Dos 7 aos 8, ela se beneficia de autonomia guiada: você prepara o terreno, ela executa, e vocês revisam juntos sem julgamento.",published,ouro,11
meu-filho,bloco-4,7-8,Geral,bloco-4|7-8|Geral|v12,"Nessa idade, o foco é consolidar base: responsabilidade, pertencimento e autorregulação — para que a criança enfrente o mundo com mais estabilidade.",published,ouro,12
